,interval_start,mean_acc_x,median_acc_x,max_acc_x,zc_acc_x,var_acc_x,mean_acc_y,median_acc_y,max_acc_y,zc_acc_y,var_acc_y,mean_acc_z,median_acc_z,max_acc_z,zc_acc_z,var_acc_z,mean_gyr_x,median_gyr_x,max_gyr_x,zc_gyr_x,var_gyr_x,mean_gyr_y,median_gyr_y,max_gyr_y,zc_gyr_y,var_gyr_y,mean_gyr_z,median_gyr_z,max_gyr_z,zc_gyr_z,var_gyr_z,mean_mag_x,median_mag_x,max_mag_x,zc_mag_x,var_mag_x,mean_mag_y,median_mag_y,max_mag_y,zc_mag_y,var_mag_y,mean_mag_z,median_mag_z,max_mag_z,zc_mag_z,var_mag_z
0,0.0,-1.1789210777777774,-1.1170114999999998,0.0,0.0,0.2802264194312494,6.119242177777779,6.8471155,7.2448169999999985,0.0,4.238729398478259,6.269362166666666,6.825953499999999,7.954766,0.0,4.6167421937248045,-0.20489941111111112,-0.14876999999999999,0.041379,14.0,0.04625047252421988,0.12949663333333333,0.11766599999999999,0.551761,14.0,0.02635810617136555,-0.02949516666666667,-0.018258499999999997,0.118628,28.0,0.007197089333627774,6.321610177777778,0.0,32.874207,0.0,159.93305991035822,-13.953886844444444,0.0,0.0,0.0,778.9084003908824,-10.658842966666667,0.0,0.0,0.0,454.5873406703716
1,200.0,-0.16597141111111127,-0.111939,2.0682240000000003,31.0,0.9903254606605976,4.983504199999999,5.55161,6.587548,0.0,3.802106934201606,6.715613188888889,7.173090999999999,10.221802,0.0,7.7033271436131345,-1.3234772888888886,-1.3711605,0.0,0.0,0.7837976738769389,-1.029819466666667,-0.8240274999999999,0.014868,7.0,0.9918699489352713,0.10586113333333333,0.10531199999999999,0.31144,63.0,0.01362645396851555,6.302319788888889,0.0,32.918499,0.0,142.98921445900234,-14.319330844444446,0.0,0.0,0.0,722.49111202517,-13.670389988888887,0.0,0.0,0.0,665.0194954105328
2,400.0,0.15835021590909093,0.0002395,2.029933,37.0,1.1721730591599875,2.466881443181817,2.6247995,4.572833,0.0,1.0710640555641566,11.136790431818183,11.471038,14.727565,0.0,14.014067164167564,-0.2263521931818181,-0.7330675,3.74317,31.0,3.5142894130629285,1.8784279431818183,1.288922,7.2203089999999985,51.0,7.871661460773939,-0.5156097159090908,-0.596164,0.456316,9.0,0.1640632405978398,5.537118590909092,0.0,44.410229,0.0,119.42361381270133,-9.849117534090908,0.0,0.0,0.0,335.5661156520467,-18.168632272727272,0.0,0.0,0.0,1124.5192149198165
3,600.0,-3.4561996138613877,-4.077511,0.0,0.0,4.340904304160691,3.911997920792081,4.768145,7.897417,0.0,5.767001587847459,2.6750310495049505,0.199507,12.007095,27.0,17.0764499447045,2.7053000198019808,3.716538,4.30989,0.0,2.599676175004139,3.078837445544555,3.826379,7.206460000000001,12.0,7.574611171363277,1.375263841584158,1.351138,2.707218,0.0,0.8642546660648064,10.948312772277227,0.0,59.436478,0.0,464.1720745813231,-12.970976316831683,0.0,0.0,0.0,651.3035416945705,-3.7044293960396035,0.0,15.197617,8.0,202.50638899658722
4,800.0,-1.0011853,-0.7390909999999999,1.125161,14.0,1.5974213984283703,6.095559540000003,7.749772999999999,9.069111,0.0,10.061588729543512,-0.8710586700000005,-0.570352,7.3029350000000015,57.0,8.94177760328942,-1.5021654199999994,-1.154912,1.335674,58.0,4.534771281922823,-3.71247142,-4.955122,0.485712,69.0,10.190668553218504,-0.10164931,-0.39536150000000003,1.705871,55.0,0.5443391637327342,8.66718945,0.0,49.380085,0.0,304.31212173430225,-14.234216539999998,0.0,0.0,0.0,811.0282562371463,-0.2176966500000001,0.0,18.68878,8.0,80.64360274800302
5,1000.0,2.318749375,3.774361,4.552154,66.0,5.507786544233554,2.256233465909091,2.162853,4.672918,0.0,2.1537433308901353,8.363642988636364,9.1236545,11.950386,0.0,8.03711143165469,-3.10500925,-3.5229935,0.0,0.0,1.4591134207362777,-3.587186965909092,-3.9585685,0.368532,13.0,9.305176927202059,0.3318319659090909,0.360443,0.718372,76.0,0.05141941040721474,2.477215272727273,0.0,42.042057,9.0,82.78217602656765,-9.40157993181818,0.0,0.0,0.0,344.93190742798384,-17.849274022727275,0.0,0.0,0.0,1114.6656422195492
6,1200.0,1.1807195268817205,0.8761639999999999,3.637925,13.0,1.7488432966905059,0.470317053763441,0.476795,0.924502,0.0,0.07065284166942723,10.879721978494622,12.639939,14.562219,0.0,20.41829220354065,0.6673987096774191,1.10025,2.45207,62.0,0.9010754067485931,2.0815048924731183,2.3296810000000003,3.713459,76.0,1.7060600506755377,1.6819690322580643,1.757004,2.885118,0.0,0.8921568275374723,2.0270752688172045,0.0,24.204021,15.0,34.174461887606704,-3.218816935483871,0.0,0.0,0.0,42.27341284352682,-17.460439623655912,0.0,0.0,0.0,1123.0644349385661
7,1400.0,-0.11162158510638294,0.0,0.718172,35.0,0.21677270266500862,2.6101359680851055,2.2105215,5.777987,0.0,3.79102970006784,8.917478361702129,9.657334500000001,12.942207000000002,0.0,15.029295701548985,2.854841734042554,3.2345055,4.232125,0.0,1.5452621705510885,2.6276894787234046,2.806386,4.089496,0.0,1.3142192035187599,2.4719124574468085,2.990579,3.459295,0.0,1.2113446000065888,5.850160287234043,0.0,30.927177,0.0,128.109838485623,-10.775982776595743,0.0,0.0,0.0,470.9480670002715,-10.297203457446809,0.0,0.0,0.0,450.08033308376974
8,1600.0,0.4951216274509805,0.48122600000000004,2.684815,20.0,0.6983416578449396,5.9251029607843115,7.3636865,8.5807,0.0,10.101418869155113,0.6797371372549023,0.2172715,5.682902,28.0,2.819728831368077,1.0489509117647058,0.6521405,4.225733999999999,23.0,3.1855234637600596,-0.5778501862745097,0.0,2.292396,41.0,3.950164429355209,-0.6645883137254901,-0.461376,1.536494,57.0,1.6438954966832942,4.508855421568627,0.0,35.568794,0.0,88.2876355411773,-14.126250019607841,0.0,0.0,0.0,818.5834583660599,0.4243682450980392,0.0,10.724566,14.0,12.616213857709166
9,1800.0,-0.6032406117647057,-0.642185,1.7748259999999998,28.0,2.194473004720026,2.6606880117647065,1.6651189999999998,6.894675,0.0,4.520385670736601,7.776810705882353,7.245052,13.928107999999998,0.0,22.88163338436061,-3.752874776470588,-4.048336,0.0,0.0,1.7762526287279854,-5.747894952941175,-6.2267519999999985,0.0,0.0,3.25560870417355,-2.1198704117647056,-2.869403,0.0,0.0,1.2224023226974419,8.11251334117647,0.0,45.984962,0.0,248.5744109938065,-9.99634862352941,0.0,0.0,0.0,402.4392184166534,-10.418048635294118,0.0,0.0,0.0,501.3268798973466
10,2000.0,2.1583991566265057,2.066252,3.631618,0.0,0.7519316651740118,0.1613716987951807,0.074429,1.179346,34.0,0.12516757055734307,12.519029481927712,12.747272,13.951695999999998,0.0,4.223695499141047,0.7246803614457833,0.629235,3.4564440000000003,50.0,2.743808131551122,0.9710769277108435,0.850849,5.451718,49.0,6.343964981759345,1.4337779277108433,1.415088,2.710449,78.0,0.5789839268274405,0.32742614457831326,0.0,14.990469,10.0,7.156054058309715,-2.1080671807228915,0.0,0.0,0.0,19.712530725903427,-18.78765343373494,0.0,0.0,0.0,1112.2493909343186
11,2200.0,0.09920415151515172,-0.255412,3.296221,53.0,1.9425008993376258,2.877646656565656,3.337263,6.952471000000001,0.0,5.442204929667237,6.694338606060607,7.821052000000001,12.917233,0.0,20.43195057792725,2.940769525252526,3.555513,4.223433,0.0,2.2059564961716824,3.863970797979796,4.459954,6.428564,0.0,4.784935942107982,1.5506954141414135,1.819889,2.706188,0.0,0.7324001852312728,6.950588363636365,0.0,40.47665,0.0,199.2581454373755,-10.08457585858586,0.0,0.0,0.0,436.34629975487286,-8.352302404040405,0.0,0.0,0.0,368.51612322890054
12,2400.0,-1.9798771134020625,-1.6966709999999998,0.17454,3.0,2.8417843917814407,6.2955306391752535,7.648005,8.433838,0.0,8.682402467892476,0.5504967319587628,0.311318,5.7946849999999985,23.0,5.013560432559722,-0.05582660824742281,0.0,2.383722,32.0,3.8978172908085895,-1.6201495051546386,-1.199798,2.343271,54.0,8.954123229359427,-0.378118350515464,-0.497057,0.6683399999999999,56.0,0.4003914179661453,7.901898618556704,0.0,42.84490200000001,0.0,242.45030041918733,-13.603866030927833,0.0,0.0,0.0,712.95477029669,0.7923788865979381,0.0,11.876674,14.0,14.621024001155225
13,2600.0,0.04607017708333313,0.43497500000000006,4.012580000000002,56.0,6.87181813384123,3.5900846666666655,3.83551,6.309696,0.0,3.328526934013619,8.281287072916667,9.3699385,13.318398,0.0,18.01816766553674,-1.823751156249999,-2.251788,0.991406,19.0,3.687754531707904,-3.0784989999999994,-3.8821485,1.814878,14.0,8.191403274789915,0.98693665625,0.945832,2.563435,71.0,0.9627450853124336,3.695701541666667,0.0,42.696266,4.0,109.1652595203505,-10.092323458333336,0.0,0.0,0.0,398.27763918671127,-10.954305020833331,0.0,0.0,0.0,500.31471734032897
14,2800.0,2.5337154880952375,2.956929,4.3954,9.0,2.8837213564286786,4.127726095238096,3.82367,7.40561,0.0,2.261636606997539,7.982825619047624,9.6343305,13.847315,8.0,25.031336022640897,3.455681321428572,3.8127560000000003,5.324898,0.0,2.518627907745266,3.7445765833333335,4.114777,5.705218,0.0,1.9688431786390292,0.2633981190476189,0.7173339999999999,2.13733,30.0,1.2063647544969387,2.865607976190476,0.0,28.011662,16.0,51.59887090298376,-13.497876023809525,0.0,0.0,0.0,606.8291057087675,-10.567356952380955,0.0,0.0,0.0,434.6119450483073
15,3000.0,-0.8872561122448981,-1.0665195,0.0,0.0,0.374649373533875,3.881202622448979,2.9357915,7.972425,0.0,7.4874808891186,4.730693489795919,1.27211,15.745785,62.0,40.407705453852444,-2.5450458367346935,-2.598534,1.858529,72.0,5.146916101313933,-3.223912112244898,-4.005202000000001,1.091556,77.0,4.299802521497794,-1.331314173469387,-1.609733,0.0,0.0,0.8115691278828574,6.935761112244898,0.0,39.338005,0.0,192.23647109299597,-11.301887969387753,0.0,0.0,0.0,530.6181422270329,-6.808423459183674,0.0,0.0,0.0,279.99914934593613
16,3200.0,-0.24557712,0.0,0.703896,31.0,0.4382354144090652,3.17981213,3.2144785,6.324854,0.0,3.422330773424014,8.758919470000002,11.4666335,15.349026,0.0,27.18787683931974,1.7646958699999993,2.271317,3.480923,74.0,1.8273026147904539,1.3373176499999995,1.6113925,3.66522,68.0,2.501252969259466,0.75306775,0.8883114999999999,1.431063,79.0,0.23266280706530731,4.4921377499999995,0.0,28.900566,0.0,83.73795020412213,-8.66357963,0.0,0.0,0.0,318.16492779505637,-11.86560717,0.0,0.0,0.0,581.1611811284467
17,3400.0,-0.6765326956521739,-0.6128485,0.0,0.0,0.19259766673688566,6.250598945652175,7.1632245,8.201668,0.0,6.145084443252421,4.5754536521739135,5.014894,6.946583,0.0,4.296638063748946,1.0229314999999992,1.0286855,2.104603,0.0,0.3307240743143588,0.7072204021739132,0.767697,1.7072619999999998,8.0,0.42158384183243613,0.2686915869565219,0.162868,0.828124,25.0,0.15673864945574242,6.010985108695653,0.0,28.914261,0.0,130.2067607078518,-14.387320391304348,0.0,0.0,0.0,746.4717379553243,-5.831745782608696,0.0,0.0,0.0,130.33575643978446
18,3600.0,-2.17327379245283,-2.001161,0.0,0.0,0.8137760593684661,7.9324567924528315,8.125391,8.735066999999999,0.0,2.5510711165585795,4.057724113207548,4.4480830000000005,6.124803,0.0,2.598312953312554,-0.120765754716981,0.175621,0.726362,22.0,0.5083728193671285,-0.29358783018867923,-0.288166,1.063654,19.0,0.6369020591588959,-0.22836198113207565,-0.33389800000000003,0.12097,16.0,0.06468725301096193,7.446441962264151,0.0,31.588398,0.0,170.84787703447668,-16.75691483018868,0.0,0.0,0.0,864.0150702017003,-4.319639905660377,0.0,0.0,0.0,57.852015717923955
